StartNodeType,StartNode,RelationshipType,EndNode,EndNodeType
['Identity'],34,CONTAINS,软件,['Keyword']
['Identity'],34,CONTAINS,沟通,['Keyword']
['Identity'],34,CONTAINS,HTML,['Keyword']
['Identity'],34,CONTAINS,JavaScript,['Keyword']
['Identity'],34,CONTAINS,CSS,['Keyword']
['Identity'],34,CONTAINS,Vue,['Keyword']
['Identity'],34,CONTAINS,C#,['Keyword']
['Identity'],35,CONTAINS,计算机,['Keyword']
['Identity'],35,CONTAINS,前端,['Keyword']
['Identity'],35,CONTAINS,实习,['Keyword']
['Identity'],35,CONTAINS,移动端,['Keyword']
['Identity'],35,CONTAINS,浏览器兼容,['Keyword']
['Identity'],35,CONTAINS,游戏,['Keyword']
['Identity'],35,CONTAINS,设计,['Keyword']
['Identity'],35,CONTAINS,数据库,['Keyword']
['Identity'],35,CONTAINS,JavaScript,['Keyword']
['Identity'],35,CONTAINS,CSS,['Keyword']
['Identity'],35,CONTAINS,Vue,['Keyword']
['Identity'],35,CONTAINS,PC,['Keyword']
['Identity'],36,CONTAINS,软件,['Keyword']
['Identity'],36,CONTAINS,实习,['Keyword']
['Identity'],36,CONTAINS,报告,['Keyword']
['Identity'],36,CONTAINS,沟通,['Keyword']
['Identity'],37,CONTAINS,计算机,['Keyword']
['Identity'],37,CONTAINS,前端,['Keyword']
['Identity'],37,CONTAINS,小程序,['Keyword']
['Identity'],37,CONTAINS,jquery,['Keyword']
['Identity'],37,CONTAINS,ps,['Keyword']
['Identity'],38,CONTAINS,计算机,['Keyword']
['Identity'],38,CONTAINS,前端,['Keyword']
['Identity'],38,CONTAINS,接口,['Keyword']
['Identity'],38,CONTAINS,应届毕业生,['Keyword']
['Identity'],38,CONTAINS,对接,['Keyword']
['Identity'],38,CONTAINS,沟通,['Keyword']
['Identity'],38,CONTAINS,HTML,['Keyword']
['Identity'],38,CONTAINS,JavaScript,['Keyword']
['Identity'],38,CONTAINS,CSS,['Keyword']
['Identity'],38,CONTAINS,维护,['Keyword']
['Identity'],38,CONTAINS,web,['Keyword']
['Identity'],38,CONTAINS,PC,['Keyword']
['Identity'],39,CONTAINS,设计,['Keyword']
['Identity'],40,CONTAINS,实习,['Keyword']
['Identity'],41,CONTAINS,前端,['Keyword']
['Identity'],41,CONTAINS,实习,['Keyword']
['Identity'],41,CONTAINS,小程序,['Keyword']
['Identity'],41,CONTAINS,沟通,['Keyword']
['Identity'],41,CONTAINS,element,['Keyword']
['Identity'],41,CONTAINS,app,['Keyword']
['Identity'],42,CONTAINS,前端,['Keyword']
['Identity'],42,CONTAINS,软件,['Keyword']
['Identity'],42,CONTAINS,实习,['Keyword']
['Identity'],42,CONTAINS,设计,['Keyword']
['Identity'],42,CONTAINS,沟通,['Keyword']
['Identity'],42,CONTAINS,HTML,['Keyword']
['Identity'],42,CONTAINS,JavaScript,['Keyword']
['Identity'],42,CONTAINS,CSS,['Keyword']
['Identity'],42,CONTAINS,Vue,['Keyword']
['Identity'],42,CONTAINS,维护,['Keyword']
['Identity'],42,CONTAINS,AJAX,['Keyword']
['Identity'],42,CONTAINS,W3C,['Keyword']
['Identity'],42,CONTAINS,Bootstrap,['Keyword']
['Identity'],43,CONTAINS,前端,['Keyword']
['Identity'],43,CONTAINS,实习,['Keyword']
['Identity'],43,CONTAINS,小程序,['Keyword']
['Identity'],43,CONTAINS,工作经验,['Keyword']
['Identity'],43,CONTAINS,设计,['Keyword']
['Identity'],43,CONTAINS,沟通,['Keyword']
['Identity'],43,CONTAINS,HTML,['Keyword']
['Identity'],43,CONTAINS,CSS,['Keyword']
['Identity'],43,CONTAINS,Vue,['Keyword']
['Identity'],43,CONTAINS,维护,['Keyword']
['Identity'],43,CONTAINS,web,['Keyword']
['Identity'],43,CONTAINS,JAVA,['Keyword']
['Identity'],44,CONTAINS,计算机,['Keyword']
['Identity'],44,CONTAINS,软件,['Keyword']
['Identity'],44,CONTAINS,小程序,['Keyword']
['Identity'],44,CONTAINS,沟通,['Keyword']
['Identity'],44,CONTAINS,HTML,['Keyword']
['Identity'],44,CONTAINS,CSS,['Keyword']
['Identity'],44,CONTAINS,JSON,['Keyword']
['Identity'],45,CONTAINS,前端,['Keyword']
['Identity'],45,CONTAINS,后端,['Keyword']
['Identity'],45,CONTAINS,小程序,['Keyword']
['Identity'],45,CONTAINS,UI,['Keyword']
['Identity'],46,CONTAINS,移动端,['Keyword']
['Identity'],46,CONTAINS,JavaScript,['Keyword']
['Identity'],46,CONTAINS,Vue,['Keyword']
['Identity'],47,CONTAINS,前端,['Keyword']
['Identity'],47,CONTAINS,后端,['Keyword']
['Identity'],47,CONTAINS,小程序,['Keyword']
['Identity'],47,CONTAINS,设计,['Keyword']
['Identity'],47,CONTAINS,沟通,['Keyword']
['Identity'],48,CONTAINS,前端,['Keyword']
['Identity'],48,CONTAINS,HTML,['Keyword']
['Identity'],48,CONTAINS,web,['Keyword']
